0,Q: '빨간 레고 벽돌'가 '망치'보다 무겁나요? A: 아니요
1,Q: '빨간 레고 벽돌'가 '큰 그릇'보다 무겁나요? A: 아니요
2,Q: '빨간 레고 벽돌'가 '큰 코끼리 장난감'보다 무겁나요? A: 아니요
3,Q: '빨간 레고 벽돌'가 '헤어 드라이어'보다 무겁나요? A: 아니요
4,Q: '빨간 레고 벽돌'가 '달리 시계'보다 무겁나요? A: 아니요
5,Q: '빨간 레고 벽돌'가 '우산'보다 무겁나요? A: 아니요
6,Q: '빨간 레고 벽돌'가 '베개'보다 무겁나요? A: 아니요
7,Q: '빨간 레고 벽돌'가 '건반'보다 무겁나요? A: 아니요
8,Q: '빨간 레고 벽돌'가 '빵 굽는 기구'보다 무겁나요? A: 아니요
9,Q: '빨간 레고 벽돌'가 '송곳'보다 무겁나요? A: 아니요
10,Q: '녹색 레고 벽돌'가 '망치'보다 무겁나요? A: 아니요
11,Q: '녹색 레고 벽돌'가 '큰 그릇'보다 무겁나요? A: 아니요
12,Q: '녹색 레고 벽돌'가 '큰 코끼리 장난감'보다 무겁나요? A: 아니요
13,Q: '녹색 레고 벽돌'가 '헤어 드라이어'보다 무겁나요? A: 아니요
14,Q: '녹색 레고 벽돌'가 '달리 시계'보다 무겁나요? A: 아니요
15,Q: '녹색 레고 벽돌'가 '우산'보다 무겁나요? A: 아니요
16,Q: '녹색 레고 벽돌'가 '베개'보다 무겁나요? A: 아니요
17,Q: '녹색 레고 벽돌'가 '건반'보다 무겁나요? A: 아니요
18,Q: '녹색 레고 벽돌'가 '빵 굽는 기구'보다 무겁나요? A: 아니요
19,Q: '녹색 레고 벽돌'가 '송곳'보다 무겁나요? A: 아니요
20,Q: '안전 면도기'가 '큰 그릇'보다 무겁나요? A: 아니요
21,Q: '안전 면도기'가 '큰 코끼리 장난감'보다 무겁나요? A: 아니요
22,Q: '안전 면도기'가 '헤어 드라이어'보다 무겁나요? A: 아니요
