0,Q: 椅子の材質は何ですか: 'ジェイド'のか?'木材'のか? A: 木材です
1,Q: 蓋の材質は何ですか: 'デニム'のか?'プラスチック'のか? A: プラスチックです
2,Q: 棚の材質は何ですか: '木材'のか?'金'のか? A: 木材です
3,Q: 本棚の材質は何ですか: '木材'のか?'錫'のか? A: 木材です
4,Q: 壁の材質は何ですか: '石'のか?'ジェイド'のか? A: 石です
5,Q: マグの材質は何ですか: 'ガラス'のか?'木材'のか? A: ガラスです
6,Q: キャンドルホルダーの材質は何ですか: 'セラミック'のか?'ガラス'のか? A: ガラスです
7,Q: 脚の材質は何ですか: 'ガラス'のか?'金属'のか? A: 金属です
8,Q: ノブの材質は何ですか: '石'のか?'金'のか? A: 金です
9,Q: トレイの材質は何ですか: '金属'のか?'デニム'のか? A: 金属です
10,Q: ベントの材質は何ですか: 'プラスチック'のか?'金属'のか? A: 金属です
11,Q: シンクの材質は何ですか: '金属'のか?'レザー'のか? A: 金属です
12,Q: placematの材質は何ですか: 'ゴム'のか?'布'のか? A: 布です
13,Q: タイヤの材質は何ですか: '錫'のか?'ゴム'のか? A: ゴムです
14,Q: カウンタートップの材質は何ですか: '錫'のか?'木材'のか? A: 木材です
15,Q: フェンスの材質は何ですか: '金属'のか?'紙'のか? A: 金属です
16,Q: ケーブルの材質は何ですか: 'セラミック'のか?'金属'のか? A: 金属です
17,Q: スプーンの材質は何ですか: '鉄'のか?'金属'のか? A: 金属です
18,Q: 街灯柱の材質は何ですか: '金属'のか?'ガラス'のか? A: 金属です
19,Q: パンツの材質は何ですか: '紙'のか?'デニム'のか? A: デニムです
20,Q: ホルダーの材質は何ですか: '錫'のか?'金属'のか? A: 金属です
21,Q: ロッドの材質は何ですか: '金属'のか?'プラスチック'のか? A: 金属です
22,Q: 軽いポールの材質は何ですか: '金属'のか?'布'のか? A: 金属です
23,Q: 布団の材質は何ですか: '布'のか?'木材'のか? A: 木材です
24,Q: ドアヒンジの材質は何ですか: 'ブロンズ'のか?'金属'のか? A: 金属です
25,Q: ベースの材質は何ですか: 'セラミック'のか?'金属'のか? A: 金属です
26,Q: ゴブレットの材質は何ですか: 'ガラス'のか?'セラミック'のか? A: ガラスです
27,Q: コンピューターデスクの材質は何ですか: 'ブロンズ'のか?'木材'のか? A: 木材です
28,Q: 役職の材質は何ですか: 'ブロンズ'のか?'木材'のか? A: 木材です
29,Q: 通路の材質は何ですか: 'コンクリート'のか?'紙'のか? A: コンクリートです
30,Q: ライトの材質は何ですか: 'コットン'のか?'金属'のか? A: 金属です
31,Q: ロールの材質は何ですか: '紙'のか?'金'のか? A: 紙です
32,Q: 葉の材質は何ですか: 'デニム'のか?'金'のか? A: 金です
33,Q: グリッドの材質は何ですか: '金属'のか?'レザー'のか? A: 金属です
34,Q: 象の材質は何ですか: '金'のか?'紙'のか? A: 金です
35,Q: シャンデリアの材質は何ですか: '錫'のか?'ガラス'のか? A: ガラスです
36,Q: 柱の材質は何ですか: 'コンクリート'のか?'錫'のか? A: コンクリートです
37,Q: バケツの材質は何ですか: 'ジェイド'のか?'プラスチック'のか? A: プラスチックです
