0,Q: Is 'candle wax' harder than 'skin'? A: No
1,Q: Is 'candle wax' harder than 'tin'? A: No
2,Q: Is 'candle wax' harder than 'calcium'? A: No
3,Q: Is 'candle wax' harder than 'gypsum'? A: No
4,Q: Is 'candle wax' harder than 'fingernail'? A: No
5,Q: Is 'candle wax' harder than 'ice'? A: No
6,Q: Is 'candle wax' harder than 'aluminium'? A: No
7,Q: Is 'candle wax' harder than 'gold'? A: No
8,Q: Is 'candle wax' harder than 'silver'? A: No
9,Q: Is 'candle wax' harder than 'calcite'? A: No
10,Q: Is 'candle wax' harder than 'copper'? A: No
11,Q: Is 'candle wax' harder than 'denti'? A: No
12,Q: Is 'candle wax' harder than 'pearl'? A: No
13,Q: Is 'candle wax' harder than 'shell'? A: No
14,Q: Is 'candle wax' harder than 'fluorite'? A: No
15,Q: Is 'candle wax' harder than 'nickel'? A: No
16,Q: Is 'candle wax' harder than 'ordinary steel'? A: No
17,Q: Is 'candle wax' harder than 'platinum'? A: No
18,Q: Is 'candle wax' harder than 'iron'? A: No
19,Q: Is 'candle wax' harder than 'apatite'? A: No
20,Q: Is 'candle wax' harder than 'obsidian'? A: No
21,Q: Is 'candle wax' harder than 'stainless steel'? A: No
22,Q: Is 'candle wax' harder than 'orthoclase'? A: No
23,Q: Is 'candle wax' harder than 'tanzanite'? A: No
24,Q: Is 'candle wax' harder than 'glass'? A: No
25,Q: Is 'candle wax' harder than 'silcon'? A: No
26,Q: Is 'candle wax' harder than 'amethyst'? A: No
27,Q: Is 'candle wax' harder than 'quartz'? A: No
28,Q: Is 'candle wax' harder than 'topaz'? A: No
29,Q: Is 'candle wax' harder than 'moissanite'? A: No
30,Q: Is 'candle wax' harder than 'silicon carbide'? A: No
31,Q: Is 'candle wax' harder than 'diamond'? A: No
32,Q: Is 'graphite' harder than 'calcium'? A: No
33,Q: Is 'graphite' harder than 'gypsum'? A: No
34,Q: Is 'graphite' harder than 'fingernail'? A: No
35,Q: Is 'graphite' harder than 'ice'? A: No
36,Q: Is 'graphite' harder than 'aluminium'? A: No
37,Q: Is 'graphite' harder than 'gold'? A: No
38,Q: Is 'graphite' harder than 'silver'? A: No
39,Q: Is 'graphite' harder than 'calcite'? A: No
40,Q: Is 'graphite' harder than 'copper'? A: No
41,Q: Is 'graphite' harder than 'denti'? A: No
42,Q: Is 'graphite' harder than 'pearl'? A: No
43,Q: Is 'graphite' harder than 'shell'? A: No
44,Q: Is 'graphite' harder than 'fluorite'? A: No
45,Q: Is 'graphite' harder than 'nickel'? A: No
46,Q: Is 'graphite' harder than 'ordinary steel'? A: No
47,Q: Is 'graphite' harder than 'platinum'? A: No
48,Q: Is 'graphite' harder than 'iron'? A: No
49,Q: Is 'graphite' harder than 'apatite'? A: No
50,Q: Is 'graphite' harder than 'obsidian'? A: No
51,Q: Is 'graphite' harder than 'stainless steel'? A: No
52,Q: Is 'graphite' harder than 'orthoclase'? A: No
53,Q: Is 'graphite' harder than 'tanzanite'? A: No
54,Q: Is 'graphite' harder than 'glass'? A: No
55,Q: Is 'graphite' harder than 'silcon'? A: No
56,Q: Is 'graphite' harder than 'amethyst'? A: No
57,Q: Is 'graphite' harder than 'quartz'? A: No
58,Q: Is 'graphite' harder than 'topaz'? A: No
59,Q: Is 'graphite' harder than 'moissanite'? A: No
60,Q: Is 'graphite' harder than 'silicon carbide'? A: No
61,Q: Is 'graphite' harder than 'diamond'? A: No
62,Q: Is 'talc' harder than 'calcium'? A: No
63,Q: Is 'talc' harder than 'gypsum'? A: No
64,Q: Is 'talc' harder than 'fingernail'? A: No
65,Q: Is 'talc' harder than 'ice'? A: No
66,Q: Is 'talc' harder than 'aluminium'? A: No
67,Q: Is 'talc' harder than 'gold'? A: No
68,Q: Is 'talc' harder than 'silver'? A: No
69,Q: Is 'talc' harder than 'calcite'? A: No
70,Q: Is 'talc' harder than 'copper'? A: No
71,Q: Is 'talc' harder than 'denti'? A: No
72,Q: Is 'talc' harder than 'pearl'? A: No
73,Q: Is 'talc' harder than 'shell'? A: No
